cluster_label|counts|span_score_mean|span_score_min|span_score_max|span_score_median|span_score_std|accessibility_mean|accessibility_min|accessibility_max|accessibility_median|accessibility_std|content_gen_mean|content_gen_min|content_gen_max|content_gen_median|content_gen_std|automation_mean|automation_min|automation_max|automation_median|automation_std
neural network|17|0.9499279|0.6643661|0.9999999|0.99998164|0.09996210595023917|0.0884660291281963|0.04885035087980989|0.16000209754278194|0.08247675516289482|0.028356314443714906|0.12895276135966732|0.011320454693809366|0.7100634949449044|0.060397564457629456|0.1765287904902251|0.004595543707148902|0.001734811362477728|0.021439753470715337|0.003117313931632047|0.0047319159568073475
Generative Adversarial Networks|16|0.9855296|0.8063693|0.9999995|0.9999984|0.04867373940935105|0.10097377515722875|0.04148086731061993|0.2121760840186792|0.08666638177336439|0.04919348855951224|0.2443145008006058|0.04538887348351906|0.7894979731450916|0.2259736333707697|0.18897736814873395|0.003058548440848888|0.0010907990514506002|0.0066184044371769635|0.002946180169822364|0.0012422132829030886
algorithms|12|0.9995701|0.99584347|0.9999989|0.99998677|0.0011825807532399664|0.09026756690090038|0.03959808190346965|0.26849950385238197|0.07255317480708214|0.05980482526215885|0.18964632680896376|0.006457888119272621|0.42641432762835935|0.1735219321220854|0.13608779336493618|0.0043035071390013|0.0015877699342796857|0.008003720261598037|0.0032458379621794703|0.0021111776582151557
Generator|6|0.99894387|0.9936865|0.9999993|0.99999636|0.002575574155730502|0.0743138910461898|0.06224918465864268|0.08738935810809428|0.07379940434684856|0.008897170284963505|0.20333752918100315|0.055391408718759735|0.5296799689245943|0.14675850800688583|0.16879056082151184|0.002847816290764915|0.0021139043026910938|0.004756626138250233|0.002442927513316547|0.0009895192188241254
VAE|5|0.99305356|0.9767726|0.9997063|0.9969699|0.00958785295005664|0.07538160161150136|0.05955307486615194|0.09495180145308478|0.07416306558099398|0.012650995421930293|0.2857167113637017|0.029221094263324542|0.7941629137841356|0.13207463223068666|0.31544989470349477|0.006112199275785794|0.0035238841741029223|0.008755234330994016|0.006896964634290542|0.0023765363609174256
Deepfake videos|2|0.9999956|0.9999924|0.9999988|0.9999956|4.551859639176556e-06|0.08862523944035137|0.05715884055242925|0.12009163832827349|0.08862523944035137|0.04450020806634114|0.0938420854167617|0.06813714412687132|0.11954702670665208|0.0938420854167617|0.03635227659216714|0.005269401350847501|0.0028645850287195586|0.007674217672975444|0.005269401350847501|0.0034009238577695222
